0.1,0.2011438386476031,0.6362148579755218,1.1050704284352622,1.7338989268764673,2.534764077965527,3.5107216253603246,4.662810131490208,5.991454291223702,7.49685893250903,9.17913212697,11.038327784104073
0.5,0.19261234146859302,0.6207251825527651,1.0808749367135286,1.696225611942763,2.479561746511259,3.434038336042076,4.560717689047809,5.860032531871219,7.3321911382393505,8.977303321665987,10.795423900093812
1.,0.16836376785284685,0.5751422359721823,1.0100053471295436,1.5857857877750228,2.317652137200885,3.209052388605197,4.261117029490302,5.474304254027009,6.848832557804659,8.384816913320964,10.082315266530701
1.5,0.13500682443804732,0.5077413115001235,0.9061716514684717,1.4237427543549257,2.07987295511076,2.87844331197701,3.8206893250644756,4.90710740381951,6.137932651938781,7.5132887036394065,9.033238373741256
2.,0.09999999992341942,0.42857142628630684,0.7857142485275663,1.2354977703373666,1.803363272566254,2.493706822994282,3.307899262705944,4.246487423243554,5.309729423321116,6.4977595471926755,7.81065005589016
2.5,0.06932969416620485,0.34746352769044014,0.6638319892280244,1.0450453941600881,1.5234141760965159,2.1039367680957914,2.7881538145394744,3.5766750824338347,4.469788154477021,5.467641818889317,6.570316621696103
3.,0.046011296745185296,0.27209769220437874,0.551210871750758,0.8697815832902481,1.2658380788344932,1.7452160394678617,2.3096716842130984,2.9598950243460553,3.696208362308681,4.518777628821407,5.4276931878376375
3.5,0.03017945136404296,0.2072122219282713,0.45304571514282227,0.71877845086241,1.0442855699433802,1.4367778965852498,1.8982898058062838,2.429607445697092,3.031090690458755,3.702925335335927,4.445213309128242
4.,0.020238095259103153,0.15476190399009565,0.37012988160637994,0.5940503783909196,0.8619436081211221,1.1832548893663026,1.5603544712983213,1.9941317326508836,2.485000908235447,3.0331599445639443,3.6387254535712428
4.5,0.014170356961394317,0.1145660781733733,0.3008846730679168,0.4932271173050919,0.7154241728516956,0.9800236419619472,1.2897843749137874,1.6457141460076246,2.048270411448053,2.497683246983318,2.9940787795909722
